City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,okhotsk,59.3833,143.3,274.35,90,100,1.79,RU
96,raduzhny,62.0961,77.475,281.94,52,7,1.65,RU
97,lerwick,60.1545,-1.1494,282.15,79,45,8.7,GB
98,ugoofaaru,5.6667,73.0,302.14,74,34,4.52,MV
99,luena,-11.7833,19.9167,293.13,56,27,1.22,AO
100,mizdah,31.4451,12.9801,296.65,45,84,5.58,LY
101,mareeba,-17.0,145.4333,291.55,93,100,1.25,AU
102,bandarbeyla,9.4942,50.8122,301.22,82,46,8.78,SO
103,west island,-12.1568,96.8225,300.14,78,33,5.66,CC
104,bubaque,11.2833,-15.8333,300.7,74,99,5.23,GW
105,longyearbyen,78.2186,15.6401,275.06,80,75,6.17,SJ
106,stephenville,32.2207,-98.2023,299.57,70,40,6.17,US
107,port saint john's,-31.6229,29.5448,295.53,63,92,7.67,ZA
108,tralee,52.2704,-9.7026,287.65,87,12,2.66,IE
109,tangalle,6.024,80.7911,300.24,89,10,4.65,LK
110,acapulco de juarez,16.8634,-99.8901,305.05,66,20,2.57,MX
111,mount isa,-20.7333,139.5,290.02,39,0,4.63,AU
112,liuboml,51.226,24.0373,287.28,88,42,2.52,UA
113,hadibu,12.65,54.0333,302.75,70,0,2.18,YE
114,ribeira grande,38.5167,-28.7,291.91,82,75,4.12,PT
115,newman,37.3138,-121.0208,295.5,39,0,1.66,US
116,rapar,23.5667,70.6333,301.49,78,0,10.47,IN
117,campbell river,50.0163,-125.2446,292.36,52,20,2.57,CA
118,flin flon,54.7682,-101.865,286.06,94,100,1.54,CA
119,batticaloa,7.7102,81.6924,301.03,78,5,3.42,LK
120,college,64.8569,-147.8028,291.53,47,20,2.06,US
121,marsala,37.7966,12.4352,293.12,88,20,3.6,IT
122,enewetak,11.3474,162.3373,300.84,79,88,5.88,MH
123,corner brook,48.9667,-57.9484,282.24,52,100,4.07,CA
124,talcahuano,-36.7167,-73.1167,286.97,82,75,5.14,CL
125,puerto quijarro,-17.7833,-57.7667,307.16,32,71,2.43,BO
126,ust-nera,64.5667,143.2,274.23,76,19,2.12,RU
127,enriquillo,17.9,-71.2333,303.97,62,1,3.84,DO
128,kolonia town,6.964,158.206,300.15,89,75,2.57,FM
129,margate,51.3813,1.3862,287.21,74,36,4.47,GB
130,krasnovishersk,60.4078,57.082,290.38,63,96,1.07,RU
131,machico,32.7,-16.7667,294.1,78,20,2.06,PT
132,papatowai,-46.5619,169.4708,286.1,67,100,5.06,NZ
133,velikiye luki,56.34,30.5452,286.5,87,100,0.33,RU
134,itoman,26.1247,127.6694,297.16,70,75,4.12,JP
135,khandyga,62.6667,135.6,276.67,90,99,0.89,RU
136,la'ie,21.6477,-157.9253,297.81,78,59,2.68,US
137,glace bay,46.1969,-59.957,279.2,96,100,6.69,CA
138,aykhal,66.0,111.5,270.89,91,100,2.05,RU
139,arteche,12.2645,125.4048,298.62,90,85,2.55,PH
140,constitucion,-35.3333,-72.4167,287.6,61,89,1.81,CL
141,kabinda,-6.1333,24.4833,296.84,66,55,1.92,CD
142,abepura,-2.6333,140.5833,298.6,83,40,1.54,ID
143,carutapera,-1.195,-46.02,301.69,74,95,4.23,BR
144,ceeldheer,3.8488,47.1806,300.45,73,19,6.4,SO
145,salahonda,2.1019,-78.7217,300.64,79,99,4.54,CO
146,piacabucu,-10.4056,-36.4344,300.04,77,8,4.31,BR
147,nar'yan-mar,67.6713,53.087,291.08,79,96,8.99,RU
148,rome,34.257,-85.1647,301.75,41,0,3.6,US
149,aasiaat,68.7098,-52.8699,272.94,69,2,2.85,GL
150,korla,41.7597,86.1469,292.45,33,98,1.25,CN
151,port lincoln,-34.7333,135.8667,285.3,64,94,8.15,AU
152,bo phloi,14.3236,99.5161,298.72,73,75,2.68,TH
153,pangoa,-12.1167,-73.0,302.39,53,31,1.7,PE
154,ebaye,8.7748,167.7392,300.16,89,0,5.66,MH
155,ilulissat,69.2167,-51.1,276.16,52,0,2.57,GL
156,udachny,66.4167,112.4,274.51,74,100,2.36,RU
157,jamestown,42.097,-79.2353,290.66,46,0,5.14,US
158,atherton,53.5237,-2.4935,290.25,55,7,0.89,GB
159,ntungamo,-0.8833,29.65,292.59,85,43,2.04,UG
160,vilyuchinsk,52.9306,158.4028,279.3,90,98,3.11,RU
161,ain fakroun,35.9711,6.8737,287.51,86,100,3.6,DZ
162,greenville,35.6127,-77.3663,295.24,71,100,5.14,US
163,hammerfest,70.6634,23.6821,280.4,49,20,11.32,NO
164,tsaratanana,-16.7833,47.65,293.47,66,0,1.88,MG
165,yurty,56.0498,97.6348,275.63,77,95,1.69,RU
166,dongdu,35.85,117.7,289.61,72,96,1.45,CN
167,palmer,42.1584,-72.3287,292.83,36,20,6.69,US
168,taoudenni,22.6783,-3.9836,307.69,17,94,3.05,ML
169,kailua-kona,19.6406,-155.9956,299.97,78,20,1.79,US
170,saipan,15.1355,145.701,300.73,100,75,7.72,MP
171,puerto aysen,-45.4,-72.7,277.17,87,100,5.66,CL
172,songling,31.1933,120.7176,292.75,90,99,2.87,CN
173,grand falls-windsor,48.9332,-55.6649,284.27,54,100,3.1,CA
174,flying fish cove,-10.4217,105.6791,298.97,88,100,5.66,CX
175,bairnsdale,-37.8333,147.6167,280.96,86,15,3.31,AU
176,suntar,62.1444,117.6319,276.59,75,60,2.35,RU
177,dunedin,-45.8742,170.5036,290.26,41,100,3.58,NZ
178,atafu village,-8.5421,-172.5159,301.26,75,80,4.05,TK
179,san luis de la loma,17.2706,-100.8939,305.2,56,28,4.25,MX
180,yuzhno-kurilsk,44.0306,145.8556,284.3,60,0,0.6,RU
181,badger,64.8,-147.5333,291.48,47,20,2.06,US
182,charters towers,-20.1,146.2667,287.42,88,6,1.42,AU
183,anadyr,64.75,177.4833,273.43,100,75,3.0,RU
184,tuguegarao,17.6131,121.7269,297.93,90,21,0.65,PH
185,nemuro,43.3236,145.575,282.28,79,3,2.49,JP
186,meulaboh,4.1363,96.1285,298.5,90,100,1.67,ID
187,isna,25.2934,32.554,307.16,10,100,5.24,EG
188,ternate,0.8,127.4,300.49,82,95,4.1,ID
189,port douglas,-16.4833,145.4667,294.62,84,100,3.65,AU
190,tolanaro,-25.0319,46.9987,292.19,88,75,4.63,MG
191,guerrero negro,27.9769,-114.0611,292.24,57,100,6.69,MX
192,alupka,44.4167,34.05,288.96,93,58,2.28,UA
193,san julian,21.0167,-102.1667,301.16,18,78,4.1,MX
194,gamba,-2.65,10.0,298.36,92,100,3.55,GA
195,westport,41.1415,-73.3579,293.23,45,40,2.57,US
196,gadzhiyevo,69.2551,33.3362,283.98,47,9,7.46,RU
197,usinsk,65.9939,57.5281,291.98,58,15,9.0,RU
198,wotho,10.1657,166.0102,301.32,78,100,7.26,MH
199,santa marta de ortigueira,43.6833,-7.85,288.85,83,0,0.45,ES
200,bowen,-20.0167,148.2333,290.49,85,50,3.52,AU
